layer,concept,feature_id,full_score,full_rank,resample_support,median_resample_rank,mean_resample_rank,resamples,top_features_per_resample
4,negative_sentiment,2220,0.23533640645047524,59,0.09375,14.0,13.833333333333334,128,20
4,negative_sentiment,3259,0.4162758496464685,18,0.46875,15.0,14.0,128,20
4,negative_sentiment,6333,0.10649225735229433,122,0.0234375,13.0,12.333333333333334,128,20
4,negative_sentiment,26818,0.37186494632749045,24,0.3828125,13.0,13.061224489795919,128,20
4,negative_sentiment,21188,0.14106435438088627,99,0.015625,10.0,10.0,128,20
4,negative_sentiment,22726,0.811902781364889,4,0.9921875,4.0,4.826771653543307,128,20
4,negative_sentiment,28878,0.28487189962017695,38,0.125,17.0,16.0625,128,20
4,negative_sentiment,8912,0.24046657409276972,55,0.03125,15.5,16.0,128,20
4,negative_sentiment,18644,0.17664102799759246,78,0.0390625,18.0,17.4,128,20
4,negative_sentiment,26329,0.25662966912370505,48,0.0078125,20.0,20.0,128,20
4,negative_sentiment,1759,0.13465746533287584,102,0.015625,18.0,18.0,128,20
4,negative_sentiment,18660,0.04736881644335772,254,0.0078125,14.0,14.0,128,20
4,negative_sentiment,23273,0.21481122490935128,64,0.015625,19.0,19.0,128,20
4,negative_sentiment,31986,0.24985271000397186,52,0.09375,16.5,16.083333333333332,128,20
4,negative_sentiment,22267,0.25342803698306177,49,0.0625,16.0,15.25,128,20
4,negative_sentiment,3851,0.8039762855680872,5,0.96875,4.0,4.879032258064516,128,20
4,negative_sentiment,24847,0.35526724455174846,27,0.171875,16.0,16.136363636363637,128,20
4,negative_sentiment,21266,0.33149147998098993,32,0.1640625,18.0,16.428571428571427,128,20
4,negative_sentiment,4378,0.3890378452460353,21,0.2890625,16.0,15.054054054054054,128,20
4,negative_sentiment,23851,0.4565867188908757,14,0.5703125,11.0,10.726027397260275,128,20
4,negative_sentiment,2864,0.18300583167511303,77,0.0078125,17.0,17.0,128,20
4,negative_sentiment,11570,0.4948674385884347,10,0.7578125,12.0,12.288659793814434,128,20
4,negative_sentiment,2871,0.09703607095627607,136,0.015625,11.5,11.5,128,20
4,negative_sentiment,12088,0.4553407262088792,15,0.6171875,13.0,12.658227848101266,128,20
4,negative_sentiment,19263,0.4347761857282119,16,0.4453125,13.0,13.473684210526315,128,20
4,negative_sentiment,27988,0.2642145029787578,42,0.0234375,17.0,16.666666666666668,128,20
4,negative_sentiment,24935,1.1268680559072797,1,1.0,1.0,1.75,128,20
4,negative_sentiment,361,0.24740044318104798,54,0.1015625,15.0,15.692307692307692,128,20
4,negative_sentiment,4980,0.27067742711481546,39,0.1015625,16.0,16.0,128,20
4,negative_sentiment,10615,0.4306736694389906,17,0.4609375,11.0,11.966101694915254,128,20
4,negative_sentiment,1912,0.3760639820097451,23,0.375,14.0,13.333333333333334,128,20
4,negative_sentiment,12677,0.313603281819498,35,0.1640625,16.0,16.571428571428573,128,20
4,negative_sentiment,29583,0.21961957931344242,63,0.015625,16.0,16.0,128,20
4,negative_sentiment,8082,0.2608389875924225,45,0.09375,11.5,11.916666666666666,128,20
4,negative_sentiment,29075,0.6993469565805537,6,0.9921875,6.0,6.622047244094488,128,20
4,negative_sentiment,22419,0.2663981512207653,41,0.1796875,12.0,12.434782608695652,128,20
4,negative_sentiment,12178,0.2533587359843224,50,0.0546875,14.0,12.714285714285714,128,20
4,negative_sentiment,3994,0.10991627550194032,120,0.0234375,14.0,15.666666666666666,128,20
4,negative_sentiment,29601,0.24806021563863978,53,0.0234375,18.0,18.333333333333332,128,20
4,negative_sentiment,30629,0.8430487999862706,3,0.984375,4.0,4.912698412698413,128,20
4,negative_sentiment,434,0.5557585325730291,7,0.796875,8.0,9.470588235294118,128,20
4,negative_sentiment,6581,0.4064741757412521,19,0.3515625,17.0,16.511111111111113,128,20
4,negative_sentiment,4536,0.20276411067318847,67,0.0078125,19.0,19.0,128,20
4,negative_sentiment,22459,0.22180485895495802,62,0.0234375,11.0,14.0,128,20
4,negative_sentiment,12219,0.2372261837251708,57,0.015625,20.0,20.0,128,20
4,negative_sentiment,14785,0.25829651667284254,46,0.03125,18.0,17.75,128,20
4,negative_sentiment,22468,0.17345882753909905,79,0.015625,16.0,16.0,128,20
